"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\jesse\CodeProjects\hx-part-picks\.clasp.json", "JSON", 0, 4, 0, 0, 0, 4
"c:\Users\jesse\CodeProjects\hx-part-picks\AGENTS.md", "Markdown", 0, 0, 113, 0, 34, 147
"c:\Users\jesse\CodeProjects\hx-part-picks\Code.js", "JavaScript", 439, 0, 0, 42, 104, 585
"c:\Users\jesse\CodeProjects\hx-part-picks\Config.js", "JavaScript", 424, 0, 0, 19, 34, 477
"c:\Users\jesse\CodeProjects\hx-part-picks\DedupeService.js", "JavaScript", 49, 0, 0, 11, 15, 75
"c:\Users\jesse\CodeProjects\hx-part-picks\DriveService.js", "JavaScript", 62, 0, 0, 0, 20, 82
"c:\Users\jesse\CodeProjects\hx-part-picks\EodReportCoordinator.js", "JavaScript", 108, 0, 0, 3, 22, 133
"c:\Users\jesse\CodeProjects\hx-part-picks\EodReportCsvService.js", "JavaScript", 386, 0, 0, 0, 89, 475
"c:\Users\jesse\CodeProjects\hx-part-picks\EodReportNormalisationService.js", "JavaScript", 178, 0, 0, 0, 39, 217
"c:\Users\jesse\CodeProjects\hx-part-picks\EodReportSummaryContextService.js", "JavaScript", 116, 0, 0, 0, 26, 142
"c:\Users\jesse\CodeProjects\hx-part-picks\EodReportValidationService.js", "JavaScript", 59, 0, 0, 3, 17, 79
"c:\Users\jesse\CodeProjects\hx-part-picks\GeminiService.js", "JavaScript", 69, 0, 0, 0, 15, 84
"c:\Users\jesse\CodeProjects\hx-part-picks\GmailService.js", "JavaScript", 38, 0, 0, 4, 7, 49
"c:\Users\jesse\CodeProjects\hx-part-picks\NormalisationService.js", "JavaScript", 119, 0, 0, 0, 32, 151
"c:\Users\jesse\CodeProjects\hx-part-picks\OneOffProductBackfill.js", "JavaScript", 488, 0, 0, 10, 118, 616
"c:\Users\jesse\CodeProjects\hx-part-picks\OutstandingOrdersEodReportService.js", "JavaScript", 374, 0, 0, 2, 78, 454
"c:\Users\jesse\CodeProjects\hx-part-picks\PalletAndProductByMemberEodReportService.js", "JavaScript", 743, 0, 0, 2, 152, 897
"c:\Users\jesse\CodeProjects\hx-part-picks\PdfService.js", "JavaScript", 59, 0, 0, 0, 13, 72
"c:\Users\jesse\CodeProjects\hx-part-picks\PromptService.js", "JavaScript", 92, 0, 0, 0, 6, 98
"c:\Users\jesse\CodeProjects\hx-part-picks\README.md", "Markdown", 0, 0, 113, 0, 25, 138
"c:\Users\jesse\CodeProjects\hx-part-picks\SheetService.js", "JavaScript", 509, 0, 0, 5, 95, 609
"c:\Users\jesse\CodeProjects\hx-part-picks\SummaryEmailService.js", "JavaScript", 702, 0, 0, 4, 172, 878
"c:\Users\jesse\CodeProjects\hx-part-picks\SummaryService.js", "JavaScript", 580, 0, 0, 9, 152, 741
"c:\Users\jesse\CodeProjects\hx-part-picks\TestHarness.js", "JavaScript", 5727, 0, 0, 44, 850, 6621
"c:\Users\jesse\CodeProjects\hx-part-picks\Utils.js", "JavaScript", 32, 0, 0, 0, 2, 34
"c:\Users\jesse\CodeProjects\hx-part-picks\appsscript.json", "JSON", 0, 15, 0, 0, 1, 16
"c:\Users\jesse\CodeProjects\hx-part-picks\docs\architecture.md", "Markdown", 0, 0, 102, 0, 44, 146
"c:\Users\jesse\CodeProjects\hx-part-picks\docs\eod-reports.md", "Markdown", 0, 0, 91, 0, 37, 128
"c:\Users\jesse\CodeProjects\hx-part-picks\docs\extraction.md", "Markdown", 0, 0, 46, 0, 19, 65
"c:\Users\jesse\CodeProjects\hx-part-picks\docs\operations.md", "Markdown", 0, 0, 102, 0, 55, 157
"c:\Users\jesse\CodeProjects\hx-part-picks\docs\testing.md", "Markdown", 0, 0, 93, 0, 33, 126
"Total", "-", 11353, 19, 660, 158, 2306, 14496
